0.00,0.00,0.00,0,2,4
0.00,0.00,0.00,0,2,6
0.00,0.00,0.00,0,4,5
0,0,0,0,2.66667,5

0.00,0.00,0.00,0,3,6
0.00,0.00,0.00,0,5,4
0.00,0.00,0.00,0,5,9
0,0,0,0,4.33333,6.33333

0.00,0.00,0.00,0,3,4
0.00,0.00,0.00,0,3,4
0.00,0.00,0.00,0,4,8
0,0,0,0,3.33333,5.33333

