0.06,0.19,0.00,284,2,21
0.06,0.19,0.00,303,3,22
0.07,0.21,0.00,295,3,22
0.0633333,0.196667,0,294,2.66667,21.6667

0.48,1.75,0.01,361,2,87
0.49,1.75,0.02,360,1,87
0.49,1.67,0.03,343,6,81
0.486667,1.72333,0.02,354.667,3,85

2.29,8.26,0.02,360,10,308
2.52,9.27,0.06,369,10,313
2.33,8.33,0.00,356,15,317
2.38,8.62,0.0266667,361.667,11.6667,312.667

